sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,sym2,hard,,False,BayesShrink,False,18.041641552977335
0.001,sym2,hard,,False,VisuShrink,True,18.041754772745712
0.001,sym2,hard,,False,VisuShrink,False,18.041754772745712
0.001,sym2,hard,1,False,BayesShrink,True,18.041641547523533
0.001,sym2,hard,1,False,BayesShrink,False,18.041641547523533
0.001,sym2,hard,1,False,VisuShrink,True,18.041714379933484
0.001,sym2,hard,1,False,VisuShrink,False,18.041714379933484
0.001,sym2,hard,2,False,BayesShrink,True,18.041641553098128
0.001,sym2,hard,2,False,BayesShrink,False,18.041641553098128
0.001,sym2,hard,2,False,VisuShrink,True,18.04172209367943
0.001,sym2,hard,2,False,VisuShrink,False,18.04172209367943
0.001,sym2,hard,3,False,BayesShrink,True,18.041641552977335
0.001,sym2,hard,3,False,BayesShrink,False,18.041641552977335
0.001,sym2,hard,3,False,VisuShrink,True,18.041754772745712
0.001,sym2,hard,3,False,VisuShrink,False,18.041754772745712
0.001,sym3,soft,,False,BayesShrink,True,18.042031468090364
0.001,sym3,soft,,False,BayesShrink,False,18.042031468090364
0.001,sym3,soft,,False,VisuShrink,True,18.264893539552382
0.001,sym3,soft,,False,VisuShrink,False,18.264893539552382
0.001,sym3,soft,1,False,BayesShrink,True,18.04196448743405
0.001,sym3,soft,1,False,BayesShrink,False,18.04196448743405
0.001,sym3,soft,1,False,VisuShrink,True,18.223045522186112
0.001,sym3,soft,1,False,VisuShrink,False,18.223045522186112
0.001,sym3,soft,2,False,BayesShrink,True,18.042031468090364
0.001,sym3,soft,2,False,BayesShrink,False,18.042031468090364
0.001,sym3,soft,2,False,VisuShrink,True,18.264893539552382
0.001,sym3,soft,2,False,VisuShrink,False,18.264893539552382
0.001,sym3,soft,3,False,BayesShrink,True,18.042036832275734
0.001,sym3,soft,3,False,BayesShrink,False,18.042036832275734
0.001,sym3,soft,3,False,VisuShrink,True,18.269734721461464
0.001,sym3,soft,3,False,VisuShrink,False,18.269734721461464
0.001,sym3,hard,,False,BayesShrink,True,18.04164154329489
0.001,sym3,hard,,False,BayesShrink,False,18.04164154329489
0.001,sym3,hard,,False,VisuShrink,True,18.041692471236605
